II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-2.408,0.389,-4.009,0.0,0.0,0.0,-0.013,0.0,0.0,0.923,0.0
-2.41,0.389,-4.007,0.0,0.0,0.0,-0.033,0.0,0.0,0.926,0.449
-2.41,0.389,0.0,0.0,0.0,0.0,-0.051,0.0,0.0,0.926,0.0
-2.41,0.389,0.0,0.0,0.0,0.0,-0.066,0.0,0.0,0.926,0.0
-2.407,0.389,0.0,0.0,0.0,0.0,-0.083,0.0,0.0,0.926,0.0
-2.412,0.389,0.0,0.0,0.0,0.0,-0.096,0.0,0.0,0.926,0.0
-2.415,0.389,0.0,0.0,0.438,0.0,-0.108,2.644,0.0,0.926,0.0
-2.416,0.389,0.0,0.0,0.437,0.0,-0.118,2.642,0.0,0.926,0.0
-2.416,0.389,0.0,0.064,0.435,0.0,-0.124,2.638,0.0,0.93,0.0
-2.416,0.389,0.0,0.06,0.434,0.0,-0.127,2.637,0.0,0.926,0.0
-2.416,0.389,0.0,0.056,0.432,0.0,-0.132,2.641,0.0,0.927,0.0
0.0,0.389,0.0,0.051,0.432,0.0,-0.137,2.643,0.0,0.566,0.0
0.0,0.389,0.0,0.047,0.432,0.0,-0.141,2.644,0.0,0.422,0.0
0.0,0.389,0.0,0.042,0.432,0.0,-0.143,2.643,0.0,0.378,0.0
0.0,0.389,0.0,0.036,0.43,0.0,-0.142,2.643,0.0,0.874,0.0
0.0,0.389,0.0,0.029,0.428,0.0,-0.141,2.644,0.0,0.667,0.0
0.0,0.389,0.0,0.023,0.427,0.0,-0.141,2.645,0.0,0.409,0.0
0.0,0.389,0.0,0.016,0.427,0.0,-0.143,2.645,0.0,0.931,0.0
-2.416,0.389,0.0,0.01,0.0,0.0,-0.143,2.645,0.0,0.381,0.0
-2.419,0.389,0.0,0.004,0.0,0.0,-0.14,2.645,0.0,0.381,0.0
-2.419,0.389,0.0,-0.002,0.0,0.0,-0.136,2.645,0.0,0.381,0.0
-2.424,0.389,0.0,-0.008,0.42,0.0,-0.135,2.646,0.0,0.882,0.0
-2.427,0.389,0.0,-0.014,0.418,0.0,-0.135,2.649,0.0,0.931,0.0
-2.427,0.389,0.0,-0.019,0.0,0.0,-0.135,2.652,0.0,0.931,0.0
-2.426,0.389,0.0,-0.023,0.0,0.0,-0.135,0.0,0.0,0.0,0.0
-2.426,0.389,0.0,-0.028,0.0,0.0,-0.137,0.0,0.0,0.0,0.0
-2.427,0.389,0.0,-0.033,0.0,0.0,-0.135,0.0,0.0,0.0,0.0
-2.427,0.389,0.0,-0.038,0.415,0.0,-0.131,0.0,0.0,0.937,0.0
-2.427,0.389,0.0,-0.041,0.415,0.0,-0.129,0.0,0.0,0.937,0.0
-2.427,0.389,0.0,-0.044,0.415,0.0,-0.129,0.0,0.0,0.292,0.0
-2.427,0.389,0.0,-0.047,0.415,0.0,-0.129,0.0,0.0,0.419,0.0
-2.427,0.389,0.0,-0.05,0.415,0.0,-0.129,0.0,0.0,0.937,0.0
-2.429,0.389,0.0,-0.053,0.414,0.0,-0.129,0.0,0.0,0.94,0.0
-2.431,0.389,0.0,-0.056,0.412,0.0,-0.129,0.0,0.0,0.943,0.0
-2.433,0.389,0.0,-0.059,0.41,0.0,-0.129,0.0,0.0,0.939,0.0
-2.433,0.389,0.0,-0.062,0.409,0.0,-0.129,0.0,0.0,0.604,0.0
-2.433,0.389,0.0,-0.064,0.409,0.0,-0.129,0.0,0.0,0.304,0.0
-2.433,0.389,0.0,-0.067,0.409,0.0,-0.127,0.0,0.0,0.384,0.0
-2.433,0.389,0.0,-0.07,0.409,0.0,-0.124,0.0,0.0,0.211,0.0
-2.433,0.389,0.0,-0.073,0.409,0.0,-0.125,0.0,0.0,0.395,0.0
-2.433,0.389,0.0,-0.076,0.0,0.0,-0.126,0.0,0.0,0.395,0.0
-2.433,0.389,0.0,-0.079,0.0,0.0,-0.126,0.0,0.0,0.331,0.0
-2.433,0.389,0.0,-0.081,0.0,0.0,-0.127,0.0,0.0,0.211,0.0
-2.434,0.389,0.0,-0.083,0.0,0.0,-0.129,0.0,0.0,0.395,0.0
-2.437,0.389,0.0,-0.084,0.0,0.0,-0.132,0.0,0.0,0.432,0.0
-2.441,0.389,0.0,-0.085,0.0,0.0,-0.134,0.0,0.0,0.945,0.0
-2.436,0.389,0.0,-0.086,0.0,0.0,-0.135,0.0,0.0,0.871,0.0
-2.431,0.389,0.0,-0.087,0.0,0.0,-0.135,0.0,0.0,0.438,0.0
-2.434,0.389,0.0,-0.088,0.0,0.0,-0.135,0.0,0.0,0.397,0.0
-2.437,0.389,0.0,-0.09,0.0,0.0,-0.135,0.0,0.0,0.395,0.0
-2.439,0.389,0.0,-0.091,0.0,0.0,-0.135,0.0,0.0,0.308,0.0
-2.438,0.389,0.0,-0.092,0.0,0.0,-0.135,0.0,0.0,0.404,0.0
-2.435,0.389,0.0,-0.093,0.0,0.0,-0.135,0.0,0.0,0.512,0.0
-2.43,0.389,0.0,-0.094,0.0,0.0,-0.135,0.0,0.0,0.395,0.0
-2.435,0.389,0.0,-0.096,0.0,0.0,-0.135,0.0,0.0,0.395,0.0
-2.438,0.389,0.0,-0.097,0.0,0.0,0.0,0.0,0.0,0.46,0.0
-2.439,0.389,0.0,-0.098,0.0,0.0,0.0,0.0,0.0,0.579,0.0
-2.439,0.389,0.0,-0.099,0.0,0.0,0.0,0.0,0.0,0.401,0.0
-2.439,0.389,0.0,-0.099,0.0,0.0,0.0,0.0,0.514,0.568,0.0
-2.439,0.389,0.0,-0.1,0.0,0.0,0.0,0.0,0.517,0.333,0.0
-2.439,0.389,0.0,-0.1,0.0,0.0,0.0,0.0,0.527,0.329,0.0
-2.439,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.412,0.0
-2.439,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.406,0.0
-2.439,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.415,0.0
-2.439,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.548,0.0
-2.439,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.412,0.0
-2.439,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.576,0.0
-2.437,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.39,0.0
-2.434,0.389,0.0,0.0,0.0,0.0,-0.138,0.0,0.516,0.39,0.0
-2.431,0.389,0.0,0.0,0.0,0.0,-0.138,0.0,0.507,0.457,0.0
-2.436,0.389,0.0,0.0,0.0,0.0,-0.141,0.0,0.5,0.401,0.0
-2.438,0.389,0.0,0.0,0.0,0.0,-0.143,0.0,0.5,0.39,0.0
-2.439,0.389,0.0,0.0,0.0,0.0,-0.146,0.0,0.5,0.293,0.0
-2.437,0.389,0.0,0.0,0.0,0.0,-0.146,0.0,0.5,0.508,0.0
-2.433,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.251,0.0
-2.432,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.393,0.0
-2.437,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.572,0.0
-2.439,0.389,0.0,0.0,0.0,0.0,-0.141,0.0,0.5,0.51,0.0
-2.439,0.389,0.0,0.0,0.0,0.0,-0.141,0.0,0.505,0.486,0.0
-2.439,0.389,0.0,0.0,0.0,0.0,-0.143,2.645,0.519,0.733,0.0
-2.436,0.389,0.0,0.0,0.0,0.0,-0.143,2.645,0.565,0.664,0.0
-2.434,0.389,0.0,0.0,0.0,0.0,-0.142,2.645,0.665,0.742,0.0
-2.433,0.389,0.0,0.0,0.0,0.0,-0.141,0.0,0.724,0.0,0.0
-2.433,0.389,0.0,0.0,0.0,0.0,-0.144,0.0,0.69,0.0,0.0
-2.433,0.389,0.0,0.0,0.0,0.0,-0.146,0.0,0.575,1.894,0.0
-2.433,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.497,0.0,0.0
-2.433,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.461,1.372,0.0
-2.433,0.389,0.0,0.0,0.0,0.0,-0.143,0.0,0.501,1.14,0.0
-2.433,0.389,0.0,0.0,0.0,0.0,-0.141,2.645,0.517,0.56,0.0
-2.433,0.389,0.0,0.0,0.0,0.0,-0.139,2.645,0.52,0.514,0.0
-2.433,0.389,0.0,-0.097,0.0,0.0,-0.144,2.645,0.515,0.646,0.0
-2.431,0.389,0.0,-0.096,0.0,0.0,-0.146,2.645,0.522,0.478,0.0
-2.429,0.389,0.0,-0.095,0.0,0.0,-0.144,0.0,0.522,0.368,0.0
-2.427,0.389,0.0,-0.094,0.0,0.0,-0.143,0.0,0.528,0.489,0.0
-2.427,0.389,0.0,-0.093,0.0,0.0,-0.143,0.0,0.524,0.692,0.0
-2.427,0.389,0.0,-0.092,0.0,0.0,-0.141,0.0,0.526,0.64,0.0
-2.427,0.389,0.0,-0.091,0.0,0.0,-0.138,0.0,0.535,0.646,0.0
-2.427,0.389,0.0,-0.091,0.0,0.0,-0.14,0.0,0.533,0.646,0.0
-2.427,0.389,0.0,-0.09,0.0,0.0,-0.138,0.0,0.528,0.737,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.138,0.0,0.531,0.652,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.138,0.0,0.534,0.519,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.142,0.0,0.534,0.775,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.534,0.653,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.539,0.506,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.143,0.0,0.545,0.541,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.143,0.0,0.543,0.657,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.543,0.39,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.545,0.498,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.553,0.608,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.566,0.665,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.575,0.643,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.58,0.585,0.0
-2.427,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.587,0.549,0.0
0.0,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.594,0.671,0.0
0.0,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.605,0.781,0.0
0.0,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.616,0.825,0.0
0.0,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.629,0.753,0.0
0.0,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.638,0.867,0.0
-2.423,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.642,0.791,0.0
0.0,0.389,0.0,-0.089,0.0,0.0,-0.146,0.0,0.642,0.827,0.0
0.0,0.389,0.0,-0.088,0.0,0.0,-0.146,0.0,0.637,0.919,0.0
0.0,0.389,0.0,-0.088,0.0,0.0,-0.146,0.0,0.634,0.727,0.0
0.0,0.389,0.0,-0.087,0.0,0.0,-0.146,0.0,0.624,0.824,0.0
0.0,0.389,0.0,-0.087,0.0,0.0,-0.146,0.0,0.61,0.781,0.0
0.0,0.389,0.0,-0.086,0.0,0.0,-0.146,0.0,0.59,0.772,0.0
0.0,0.389,0.0,-0.084,0.0,0.0,-0.146,0.0,0.568,0.788,0.0
0.0,0.389,0.0,-0.083,0.0,0.0,0.0,0.0,0.55,0.756,0.0
0.0,0.389,0.0,-0.082,0.0,0.0,0.0,0.0,0.538,0.636,0.0
0.0,0.389,0.0,-0.081,0.0,0.0,0.0,0.0,0.526,0.676,0.0
0.0,0.389,0.0,-0.081,0.0,0.0,0.0,0.0,0.0,0.521,0.0
0.0,0.389,0.0,-0.081,0.0,0.0,0.0,0.0,0.0,0.438,0.0
0.0,0.389,0.0,-0.081,0.0,0.0,0.0,0.0,0.0,0.515,0.0
0.0,0.389,0.0,-0.081,0.0,0.0,0.0,0.0,0.0,0.339,0.0
0.0,0.389,0.0,-0.081,0.0,0.0,0.0,0.0,0.0,0.221,0.0
0.0,0.389,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.432,0.0
0.0,0.389,0.0,-0.079,0.0,0.0,0.0,0.0,0.0,0.429,0.0
-2.416,0.389,0.0,-0.079,0.0,0.0,0.0,0.0,0.0,0.462,0.0
-2.416,0.389,0.0,-0.078,0.0,0.0,0.0,0.0,0.0,0.379,0.0
-2.416,0.389,0.0,-0.078,0.0,0.0,0.0,0.0,0.0,0.544,0.0
-2.416,0.389,0.0,-0.078,0.0,0.0,0.0,0.0,0.0,0.415,0.0
-2.416,0.389,0.0,-0.078,0.0,0.0,0.0,0.0,0.0,0.598,0.0
-2.416,0.389,0.0,-0.078,0.0,0.0,0.0,0.0,0.0,0.523,0.0
-2.416,0.389,0.0,-0.078,0.0,0.0,0.0,0.0,0.0,0.582,0.0
-2.416,0.389,0.0,-0.078,0.0,0.0,0.0,0.0,0.0,0.418,0.0
-2.416,0.389,0.0,-0.079,0.0,0.0,0.0,0.0,0.0,0.37,0.0
-2.416,0.389,0.0,-0.079,0.0,0.0,0.0,0.0,0.0,0.546,0.0
-2.416,0.389,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.246,0.0
-2.416,0.389,0.0,-0.081,0.0,0.0,0.0,0.0,0.0,0.413,0.0
0.0,0.389,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.418,0.0
0.0,0.389,0.0,-0.079,0.0,0.0,0.0,0.0,0.0,0.418,0.0
0.0,0.389,0.0,-0.077,0.0,0.0,0.0,0.0,0.0,0.288,0.0
0.0,0.389,0.0,-0.076,0.0,0.0,0.0,0.0,0.0,0.281,0.0
0.0,0.389,0.0,-0.075,0.0,0.0,0.0,0.0,0.0,0.415,0.0
0.0,0.389,0.0,-0.074,0.0,0.0,0.0,0.0,0.0,0.232,0.0
0.0,0.389,0.0,-0.073,0.0,0.0,0.0,0.0,0.0,0.413,0.0
0.0,0.389,0.0,-0.072,0.0,0.0,0.0,0.0,0.0,0.415,0.0
-2.414,0.389,0.0,-0.07,0.0,0.0,-0.146,0.0,0.0,0.439,0.0
-2.415,0.389,0.0,-0.069,0.0,0.0,-0.146,0.0,0.0,0.468,0.0
-2.416,0.389,0.0,-0.07,0.0,0.0,-0.147,0.0,0.0,0.413,0.0
-2.415,0.389,0.0,-0.071,0.0,0.0,-0.151,0.0,0.0,0.183,0.0
-2.412,0.389,0.0,-0.071,0.0,0.0,-0.148,0.0,0.0,0.641,0.0
-2.408,0.389,0.0,-0.072,0.0,0.0,-0.146,0.0,0.0,0.599,0.0
-2.413,0.389,0.0,-0.072,0.0,0.0,-0.146,0.0,0.0,0.595,0.0
-2.413,0.389,0.0,-0.071,0.0,0.0,-0.146,0.0,0.0,0.595,0.0
-2.407,0.389,0.0,-0.069,0.0,0.0,-0.146,0.0,0.0,0.592,0.0
-2.397,0.389,0.0,-0.068,0.0,0.0,-0.146,0.0,0.0,0.406,0.0
-2.389,0.389,0.0,-0.067,0.0,0.0,-0.146,0.0,0.0,0.406,0.0
-2.384,0.389,0.0,-0.066,0.0,0.0,0.0,0.0,0.0,0.595,0.0
-2.384,0.389,0.0,-0.065,0.0,0.0,0.0,0.0,0.0,0.595,0.0
-2.383,0.389,0.0,-0.064,0.0,0.0,0.0,2.645,0.0,0.595,0.0
-2.39,0.389,0.0,-0.062,0.0,0.0,0.0,2.646,0.0,0.435,0.0
-2.4,0.389,0.0,-0.061,0.0,0.0,-0.146,2.649,0.0,0.464,0.0
-2.408,0.389,0.0,-0.06,0.0,0.0,-0.146,2.653,0.0,0.597,0.0
-2.414,0.389,0.0,-0.059,0.0,0.0,-0.146,2.65,0.0,0.597,0.0
-2.416,0.389,0.0,-0.058,0.0,0.0,-0.146,2.647,0.0,0.457,0.0
-2.415,0.389,0.0,-0.056,0.0,0.0,-0.146,2.645,0.0,0.41,0.0
-2.414,0.389,0.0,-0.055,0.0,0.0,-0.146,0.0,0.0,0.802,0.0
-2.416,0.389,0.0,-0.053,0.0,0.0,-0.146,0.0,0.0,0.957,0.0
-2.419,0.389,0.0,-0.052,0.0,0.0,-0.146,0.0,0.0,0.96,0.0
-2.424,0.389,0.0,-0.05,0.0,0.0,-0.146,0.0,0.0,0.96,0.0
-2.429,0.389,0.0,-0.048,0.0,0.0,-0.146,0.0,0.0,0.645,0.0
-2.428,0.389,0.0,-0.046,0.0,0.0,-0.146,0.0,0.0,0.597,0.0
-2.427,0.389,0.0,-0.044,0.0,0.0,-0.146,0.0,0.0,0.596,0.0
-2.427,0.389,0.0,-0.042,0.0,0.0,-0.146,0.0,0.0,0.415,0.0
-2.427,0.389,0.0,-0.039,0.0,0.0,-0.146,0.0,0.0,0.415,0.0
-2.427,0.389,0.0,-0.037,0.0,0.0,-0.146,0.0,0.0,0.415,0.0
-2.427,0.389,0.0,-0.035,0.0,0.0,-0.146,0.0,0.0,0.415,0.0
-2.427,0.389,0.0,-0.033,0.0,0.0,-0.146,0.0,0.0,0.415,0.0
-2.427,0.389,0.0,-0.031,0.0,0.0,-0.146,0.0,0.0,0.415,0.0
-2.427,0.389,0.0,-0.029,0.0,0.0,-0.146,0.0,0.0,0.416,0.0
-2.427,0.389,0.0,-0.028,0.0,0.0,-0.145,0.0,0.0,0.597,0.0
-2.429,0.389,-3.996,-0.026,0.0,0.0,-0.14,0.0,0.0,-0.052,0.0
-2.428,0.389,-4.003,-0.025,0.0,0.0,-0.138,0.0,0.0,0.415,0.0
-2.423,0.389,-4.006,-0.024,0.0,0.0,-0.138,0.0,0.0,0.469,0.0
-2.419,0.389,-4.007,-0.022,0.0,0.0,-0.142,0.0,0.0,0.437,0.0
-2.418,0.389,-4.009,-0.021,0.0,0.0,-0.148,0.0,0.0,0.308,0.0
-2.411,0.389,-4.009,-0.019,0.0,0.0,-0.147,0.0,0.0,0.589,0.0
-2.401,0.389,-4.009,-0.016,0.0,0.0,-0.138,0.0,0.0,0.414,0.0
-2.374,0.389,-4.011,-0.013,0.0,0.0,-0.128,0.0,0.0,0.415,0.0
-2.323,0.389,-4.014,-0.01,0.0,0.0,-0.121,0.0,0.0,0.415,0.0
-2.223,0.389,-4.018,-0.007,0.0,0.0,-0.128,0.0,0.0,0.966,0.0
0.0,0.389,-4.02,-0.005,0.0,0.0,-0.133,0.0,0.0,0.487,0.0
0.0,0.389,-4.021,-0.002,0.0,0.0,-0.141,0.0,0.0,0.966,0.0
0.0,0.389,-4.021,0.0,0.0,0.0,-0.147,0.0,0.0,0.413,0.0
0.0,0.389,-4.021,0.003,0.0,0.0,-0.15,0.0,0.0,0.34,0.0
0.0,0.389,-4.021,0.005,0.0,0.0,-0.152,0.0,0.0,0.966,0.0
0.0,0.389,-4.021,0.007,0.0,0.0,-0.155,0.0,0.0,0.564,0.0
0.0,0.389,-4.021,0.01,0.0,0.0,-0.155,0.0,0.0,-0.139,0.0
0.0,0.389,-4.021,0.012,0.0,0.0,-0.151,0.0,0.0,0.343,0.0
-2.067,0.389,-4.021,0.014,0.0,0.0,-0.151,0.0,0.0,0.436,0.0
-2.225,0.389,-4.021,0.017,0.0,0.0,-0.153,2.645,0.0,0.425,0.0
-2.246,0.389,-4.021,0.021,0.0,0.0,-0.155,2.645,0.0,0.966,0.0
-2.259,0.389,-4.021,0.026,0.0,0.0,-0.155,2.645,0.0,0.0,0.0
-2.279,0.389,-4.016,0.03,0.0,0.0,-0.152,2.645,0.0,0.963,0.0
-2.294,0.389,-4.015,0.034,0.0,0.0,-0.152,2.645,0.0,0.967,0.0
-2.311,0.389,-4.018,0.037,0.0,0.0,-0.152,2.645,0.0,0.48,0.0
-2.327,0.389,-4.02,0.04,0.0,0.0,-0.151,2.645,0.0,0.412,0.0
-2.338,0.389,-4.017,0.043,0.0,0.0,-0.147,2.645,0.0,0.412,0.0
-2.342,0.389,-4.012,0.046,0.0,0.0,-0.144,2.645,0.0,0.521,0.0
-2.345,0.389,-4.003,0.049,0.0,0.0,0.0,2.645,0.0,0.412,0.0
-2.347,0.389,-3.979,0.053,0.0,0.0,0.0,2.645,0.0,0.412,0.0
-2.35,0.389,-3.946,0.057,0.0,0.0,0.0,2.645,0.0,0.584,0.0
-2.35,0.389,0.0,0.061,0.0,0.0,0.0,2.645,0.0,0.966,0.0
-2.35,0.389,0.0,0.065,0.0,0.0,0.0,2.645,0.0,0.964,0.0
-2.352,0.389,0.0,0.07,0.0,0.0,0.0,2.645,0.0,0.966,0.0
-2.352,0.389,0.0,0.073,0.0,0.0,0.0,2.645,0.0,0.966,0.0
-2.348,0.389,0.0,0.077,0.0,0.0,0.0,2.645,0.0,0.384,0.0
-2.344,0.389,0.0,0.08,0.0,0.0,0.0,2.647,0.0,0.503,0.0
-2.342,0.389,0.0,0.084,0.0,0.0,0.0,2.65,0.0,0.96,0.0
-2.342,0.389,0.0,0.088,0.0,0.0,-0.142,2.655,0.0,0.638,0.0
-2.342,0.389,0.0,0.09,0.0,0.0,-0.13,2.667,0.0,0.415,0.0
