I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.182,-0.03,0.143,-0.021,0.061,-0.028,0.033,0.017,-0.007,0.077,0.017,-0.021
-0.19,-0.03,0.152,-0.021,0.059,-0.026,0.034,0.017,-0.009,0.084,0.019,-0.022
-0.2,-0.03,0.16,-0.021,0.054,-0.023,0.034,0.017,-0.009,0.091,0.022,-0.022
-0.21,-0.031,0.167,-0.022,0.049,-0.019,0.034,0.017,-0.009,0.098,0.025,-0.021
-0.218,-0.034,0.175,-0.027,0.047,-0.014,0.032,0.017,-0.005,0.101,0.03,-0.018
-0.226,-0.036,0.182,-0.032,0.044,-0.009,0.029,0.017,0.0,0.103,0.035,-0.016
-0.233,-0.039,0.19,-0.037,0.045,-0.009,0.028,0.017,0.003,0.109,0.034,-0.013
-0.241,-0.041,0.2,-0.042,0.05,-0.009,0.028,0.017,-0.002,0.116,0.032,-0.011
-0.248,-0.042,0.21,-0.046,0.055,-0.009,0.028,0.017,-0.007,0.124,0.03,-0.008
-0.259,-0.04,0.221,-0.046,0.051,-0.009,0.03,0.014,-0.009,0.136,0.033,-0.003
-0.272,-0.037,0.233,-0.046,0.046,-0.009,0.032,0.012,-0.009,0.149,0.035,0.002
-0.284,-0.036,0.246,-0.05,0.043,-0.003,0.034,0.009,-0.009,0.16,0.041,0.007
-0.296,-0.036,0.258,-0.055,0.043,0.005,0.034,0.007,-0.012,0.17,0.049,0.012
-0.309,-0.036,0.271,-0.06,0.043,0.011,0.034,0.004,-0.014,0.18,0.055,0.016
-0.321,-0.036,0.282,-0.065,0.046,0.014,0.032,0.004,-0.015,0.185,0.053,0.014
-0.334,-0.036,0.292,-0.07,0.051,0.016,0.03,0.004,-0.015,0.19,0.05,0.011
-0.346,-0.04,0.302,-0.073,0.055,0.017,0.028,0.005,-0.015,0.197,0.05,0.01
-0.356,-0.045,0.314,-0.076,0.052,0.017,0.028,0.008,-0.015,0.207,0.053,0.01
-0.366,-0.049,0.326,-0.078,0.05,0.019,0.028,0.01,-0.015,0.217,0.056,0.01
-0.377,-0.046,0.338,-0.086,0.047,0.029,0.028,0.011,-0.015,0.23,0.061,0.013
-0.39,-0.044,0.348,-0.093,0.045,0.039,0.028,0.011,-0.015,0.242,0.066,0.015
-0.402,-0.041,0.358,-0.1,0.043,0.046,0.028,0.011,-0.015,0.253,0.072,0.02
-0.412,-0.039,0.365,-0.105,0.045,0.051,0.028,0.011,-0.015,0.261,0.079,0.028
-0.422,-0.036,0.37,-0.11,0.048,0.055,0.028,0.011,-0.015,0.268,0.087,0.035
-0.431,-0.029,0.375,-0.112,0.052,0.055,0.028,0.013,-0.016,0.281,0.092,0.033
-0.436,-0.021,0.388,-0.115,0.057,0.055,0.028,0.015,-0.019,0.296,0.097,0.031
-0.441,-0.01,0.4,-0.118,0.062,0.059,0.028,0.017,-0.021,0.312,0.103,0.03
-0.444,0.005,0.414,-0.123,0.062,0.067,0.028,0.017,-0.02,0.332,0.111,0.033
-0.446,0.02,0.429,-0.128,0.062,0.074,0.028,0.017,-0.017,0.352,0.118,0.035
-0.449,0.04,0.444,-0.134,0.063,0.079,0.028,0.016,-0.015,0.371,0.126,0.044
-0.451,0.06,0.466,-0.139,0.065,0.084,0.028,0.013,-0.012,0.388,0.133,0.054
-0.454,0.077,0.489,-0.142,0.068,0.088,0.028,0.01,-0.01,0.406,0.14,0.062
-0.456,0.09,0.506,-0.142,0.07,0.091,0.023,0.008,-0.01,0.423,0.145,0.065
-0.459,0.102,0.516,-0.142,0.073,0.093,0.018,0.005,-0.013,0.441,0.15,0.067
-0.461,0.111,0.526,-0.144,0.073,0.093,0.016,0.006,-0.015,0.455,0.157,0.068
-0.461,0.118,0.531,-0.146,0.068,0.093,0.018,0.008,-0.015,0.468,0.164,0.068
-0.461,0.128,0.536,-0.149,0.063,0.095,0.021,0.011,-0.015,0.48,0.173,0.07
-0.459,0.143,0.541,-0.154,0.06,0.1,0.023,0.008,-0.015,0.495,0.188,0.083
-0.454,0.158,0.543,-0.159,0.057,0.105,0.026,0.006,-0.015,0.51,0.204,0.095
-0.449,0.171,0.546,-0.161,0.055,0.106,0.027,0.004,-0.015,0.527,0.212,0.101
-0.436,0.184,0.548,-0.161,0.055,0.106,0.022,0.004,-0.015,0.544,0.217,0.104
-0.424,0.195,0.551,-0.161,0.055,0.105,0.017,0.004,-0.015,0.562,0.222,0.106
-0.412,0.2,0.553,-0.156,0.06,0.103,0.016,0.002,-0.016,0.577,0.227,0.109
-0.399,0.205,0.558,-0.151,0.068,0.1,0.019,0.0,-0.019,0.592,0.232,0.111
-0.387,0.204,0.563,-0.148,0.074,0.102,0.021,-0.002,-0.021,0.607,0.241,0.117
-0.38,0.202,0.558,-0.148,0.069,0.104,0.024,-0.002,-0.015,0.622,0.254,0.124
-0.375,0.197,0.546,-0.148,0.064,0.106,0.026,-0.002,-0.008,0.637,0.266,0.132
-0.37,0.182,0.533,-0.143,0.063,0.106,0.028,0.0,-0.002,0.646,0.276,0.137
-0.365,0.167,0.506,-0.138,0.066,0.106,0.028,0.002,0.001,0.654,0.286,0.142
-0.36,0.148,0.479,-0.132,0.068,0.108,0.028,0.005,0.003,0.661,0.293,0.147
-0.35,0.125,0.451,-0.124,0.075,0.11,0.025,0.01,0.004,0.669,0.295,0.152
-0.338,0.102,0.424,-0.117,0.083,0.11,0.023,0.015,0.004,0.676,0.298,0.157
-0.327,0.077,0.396,-0.107,0.089,0.097,0.022,0.019,0.005,0.682,0.3,0.162
-0.324,0.052,0.373,-0.097,0.094,0.085,0.025,0.021,0.01,0.687,0.303,0.167
-0.322,0.031,0.351,-0.09,0.099,0.077,0.027,0.023,0.015,0.691,0.306,0.171
-0.321,0.013,0.331,-0.087,0.102,0.072,0.032,0.018,0.024,0.689,0.311,0.173
-0.321,-0.004,0.316,-0.085,0.105,0.067,0.037,0.013,0.036,0.686,0.316,0.176
-0.321,-0.014,0.301,-0.08,0.107,0.056,0.04,0.011,0.049,0.681,0.317,0.172
-0.323,-0.024,0.288,-0.075,0.11,0.046,0.04,0.011,0.049,0.673,0.317,0.167
-0.326,-0.031,0.276,-0.07,0.112,0.035,0.04,0.011,0.049,0.666,0.317,0.164
-0.327,-0.034,0.264,-0.062,0.115,0.022,0.029,0.013,0.049,0.653,0.317,0.167
-0.327,-0.036,0.254,-0.055,0.117,0.01,0.014,0.016,0.049,0.641,0.317,0.169
-0.327,-0.041,0.244,-0.047,0.118,0.0,0.0,0.017,0.049,0.622,0.315,0.174
-0.316,-0.046,0.232,-0.039,0.113,-0.01,-0.013,0.017,0.058,0.597,0.313,0.179
-0.303,-0.051,0.22,-0.034,0.108,-0.02,-0.025,0.017,0.067,0.572,0.309,0.182
-0.293,-0.056,0.208,-0.034,0.11,-0.03,-0.038,0.008,0.074,0.538,0.299,0.177
-0.285,-0.061,0.195,-0.034,0.115,-0.04,-0.05,-0.002,0.074,0.503,0.289,0.172
-0.278,-0.066,0.183,-0.03,0.119,-0.048,-0.062,-0.01,0.074,0.467,0.277,0.165
-0.274,-0.071,0.173,-0.025,0.114,-0.056,-0.072,-0.015,0.072,0.429,0.264,0.157
-0.272,-0.075,0.165,-0.02,0.109,-0.062,-0.082,-0.02,0.07,0.392,0.251,0.149
-0.269,-0.075,0.158,-0.018,0.104,-0.067,-0.086,-0.027,0.066,0.358,0.234,0.137
-0.264,-0.075,0.15,-0.015,0.099,-0.072,-0.084,-0.035,0.059,0.326,0.216,0.124
-0.259,-0.078,0.143,-0.014,0.094,-0.071,-0.081,-0.042,0.051,0.293,0.197,0.114
-0.252,-0.083,0.136,-0.014,0.098,-0.068,-0.074,-0.047,0.044,0.261,0.177,0.107
-0.245,-0.087,0.131,-0.014,0.103,-0.067,-0.066,-0.052,0.036,0.228,0.157,0.099
-0.238,-0.082,0.126,-0.014,0.106,-0.07,-0.059,-0.051,0.028,0.199,0.14,0.089
-0.235,-0.077,0.127,-0.014,0.106,-0.072,-0.051,-0.049,0.019,0.172,0.122,0.079
-0.233,-0.075,0.13,-0.014,0.106,-0.075,-0.044,-0.046,0.009,0.146,0.107,0.068
-0.231,-0.075,0.13,-0.014,0.102,-0.077,-0.034,-0.044,-0.001,0.128,0.094,0.056
-0.231,-0.075,0.125,-0.014,0.097,-0.078,-0.024,-0.041,-0.011,0.111,0.082,0.043
-0.231,-0.077,0.121,-0.014,0.094,-0.073,-0.014,-0.04,-0.021,0.098,0.069,0.04
-0.229,-0.08,0.116,-0.014,0.097,-0.068,-0.004,-0.04,-0.022,0.088,0.057,0.037
-0.226,-0.081,0.111,-0.014,0.099,-0.07,0.006,-0.04,-0.022,0.078,0.045,0.032
-0.223,-0.081,0.106,-0.014,0.102,-0.075,0.01,-0.038,-0.024,0.071,0.035,0.022
-0.218,-0.081,0.106,-0.014,0.104,-0.079,0.013,-0.035,-0.029,0.063,0.025,0.012
-0.213,-0.071,0.106,-0.014,0.107,-0.076,0.016,-0.03,-0.034,0.056,0.019,0.006
-0.21,-0.061,0.109,-0.014,0.109,-0.074,0.021,-0.023,-0.041,0.048,0.014,0.001
-0.208,-0.036,0.114,-0.014,0.112,-0.07,0.026,-0.015,-0.048,0.041,0.011,-0.004
-0.204,0.007,0.118,-0.014,0.108,-0.065,0.024,-0.01,-0.054,0.036,0.011,-0.009
-0.199,0.049,0.142,-0.014,0.101,-0.06,0.019,-0.005,-0.057,0.031,0.011,-0.014
-0.194,0.122,0.167,-0.012,0.094,-0.065,0.014,-0.002,-0.059,0.027,0.007,-0.015
-0.184,0.197,0.202,-0.01,0.091,-0.07,0.009,-0.002,-0.06,0.024,0.002,-0.015
-0.172,0.278,0.255,-0.007,0.089,-0.074,0.005,-0.002,-0.06,0.022,-0.003,-0.014
-0.157,0.369,0.307,-0.005,0.089,-0.077,0.003,-0.002,-0.06,0.019,-0.005,-0.009
-0.132,0.459,0.361,-0.002,0.091,-0.079,0.006,-0.002,-0.06,0.017,-0.008,-0.004
-0.107,0.547,0.416,-0.002,0.094,-0.082,0.008,-0.002,-0.06,0.013,-0.008,-0.004
-0.078,0.635,0.472,-0.002,0.096,-0.084,0.013,-0.002,-0.061,0.008,-0.008,-0.007
-0.046,0.713,0.534,-0.002,0.099,-0.083,0.018,-0.002,-0.064,0.003,-0.009,-0.009
-0.013,0.765,0.597,-0.004,0.102,-0.078,0.02,-0.002,-0.066,0.0,-0.011,-0.014
0.012,0.818,0.649,-0.007,0.107,-0.073,0.018,-0.002,-0.066,-0.002,-0.014,-0.019
0.036,0.783,0.696,-0.009,0.112,-0.07,0.015,-0.002,-0.066,-0.003,-0.018,-0.023
0.052,0.718,0.732,-0.012,0.107,-0.068,0.011,0.001,-0.066,0.005,-0.023,-0.026
0.057,0.642,0.68,-0.014,0.099,-0.067,0.006,0.003,-0.066,0.012,-0.028,-0.028
0.062,0.524,0.628,-0.014,0.092,-0.07,0.001,-0.002,-0.066,0.015,-0.025,-0.025
0.049,0.406,0.555,-0.014,0.087,-0.072,-0.004,-0.012,-0.066,0.015,-0.023,-0.023
0.034,0.309,0.465,-0.014,0.082,-0.073,-0.009,-0.021,-0.066,0.014,-0.019,-0.02
0.014,0.224,0.376,-0.014,0.081,-0.073,-0.003,-0.018,-0.065,0.009,-0.014,-0.018
-0.013,0.145,0.323,-0.014,0.081,-0.073,0.007,-0.016,-0.06,0.004,-0.009,-0.015
-0.041,0.118,0.271,-0.012,0.081,-0.073,0.018,-0.013,-0.055,0.003,-0.008,-0.018
-0.068,0.09,0.233,-0.01,0.081,-0.073,0.035,-0.011,-0.046,0.006,-0.008,-0.02
-0.095,0.084,0.215,-0.007,0.081,-0.071,0.053,-0.008,-0.036,0.008,-0.008,-0.022
-0.119,0.094,0.198,-0.005,0.079,-0.068,0.083,-0.011,-0.014,0.011,-0.008,-0.022
-0.132,0.104,0.202,-0.002,0.077,-0.066,0.12,-0.013,0.046,0.013,-0.008,-0.022
-0.144,0.114,0.209,-0.004,0.075,-0.063,0.156,-0.007,0.105,0.013,-0.008,-0.022
-0.148,0.124,0.217,-0.006,0.075,-0.061,0.168,0.011,0.192,0.008,-0.008,-0.022
-0.148,0.123,0.224,-0.008,0.075,-0.06,0.181,0.028,0.292,0.003,-0.008,-0.022
-0.148,0.111,0.231,-0.008,0.075,-0.06,0.151,0.075,0.387,0.002,-0.008,-0.022
-0.143,0.098,0.223,-0.008,0.075,-0.06,0.078,0.125,0.449,0.002,-0.008,-0.022
-0.138,0.076,0.208,-0.006,0.075,-0.06,0.006,0.171,0.512,0.003,-0.01,-0.02
-0.134,0.054,0.192,-0.004,0.072,-0.06,-0.112,0.211,0.545,0.005,-0.013,-0.017
-0.132,0.034,0.17,-0.002,0.07,-0.058,-0.231,0.251,0.555,0.008,-0.015,-0.015
-0.129,0.019,0.147,-0.002,0.068,-0.056,-0.35,0.228,0.565,0.008,-0.015,-0.015
-0.127,0.004,0.128,-0.002,0.068,-0.054,-0.468,0.188,0.563,0.008,-0.015,-0.015
-0.124,-0.007,0.11,-0.002,0.068,-0.056,-0.585,0.138,0.561,0.008,-0.016,-0.015
-0.122,-0.017,0.093,-0.002,0.068,-0.059,-0.673,0.058,0.558,0.005,-0.019,-0.015
-0.119,-0.024,0.083,-0.002,0.068,-0.06,-0.755,-0.022,0.556,0.003,-0.021,-0.015
-0.117,-0.027,0.073,-0.002,0.068,-0.06,-0.817,-0.121,0.553,0.004,-0.018,-0.015
-0.116,-0.029,0.065,-0.002,0.068,-0.06,-0.824,-0.229,0.527,0.006,-0.016,-0.015
-0.116,-0.032,0.061,-0.002,0.068,-0.057,-0.832,-0.332,0.497,0.008,-0.012,-0.014
-0.116,-0.034,0.056,-0.002,0.068,-0.055,-0.794,-0.407,0.433,0.008,-0.007,-0.011
-0.113,-0.037,0.048,-0.002,0.068,-0.052,-0.739,-0.482,0.291,0.008,-0.002,-0.009
-0.111,-0.04,0.041,0.001,0.068,-0.05,-0.686,-0.524,0.149,0.008,0.0,-0.009
-0.106,-0.042,0.034,0.003,0.068,-0.047,-0.638,-0.545,-0.026,0.008,0.003,-0.009
-0.101,-0.041,0.029,0.006,0.068,-0.052,-0.591,-0.563,-0.213,0.009,0.003,-0.01
-0.097,-0.039,0.024,0.008,0.067,-0.057,-0.536,-0.556,-0.375,0.011,0.001,-0.013
-0.094,-0.036,0.025,0.011,0.064,-0.06,-0.476,-0.548,-0.422,0.014,-0.002,-0.015
-0.092,-0.034,0.027,0.011,0.062,-0.06,-0.416,-0.553,-0.469,0.016,-0.002,-0.015
-0.091,-0.031,0.029,0.011,0.062,-0.06,-0.367,-0.571,-0.454,0.019,-0.002,-0.015
-0.091,-0.03,0.024,0.011,0.062,-0.062,-0.317,-0.588,-0.399,0.021,-0.001,-0.014
-0.091,-0.03,0.019,0.011,0.062,-0.065,-0.277,-0.566,-0.344,0.019,0.001,-0.012
-0.088,-0.03,0.015,0.011,0.062,-0.066,-0.247,-0.541,-0.289,0.016,0.004,-0.009
-0.086,-0.03,0.013,0.011,0.062,-0.063,-0.217,-0.503,-0.234,0.016,0.002,-0.011
-0.083,-0.03,0.01,0.011,0.059,-0.061,-0.18,-0.446,-0.188,0.018,0.0,-0.013
-0.081,-0.029,0.01,0.011,0.057,-0.058,-0.142,-0.388,-0.151,0.021,-0.002,-0.015
-0.078,-0.026,0.01,0.011,0.052,-0.056,-0.108,-0.339,-0.114,0.019,-0.002,-0.015
-0.078,-0.024,0.01,0.011,0.045,-0.054,-0.078,-0.291,-0.088,0.017,-0.002,-0.015
-0.078,-0.024,0.01,0.013,0.038,-0.054,-0.048,-0.245,-0.063,0.014,-0.002,-0.013
-0.077,-0.024,0.01,0.016,0.034,-0.054,-0.032,-0.203,-0.043,0.012,-0.002,-0.011
-0.075,-0.024,0.008,0.018,0.032,-0.055,-0.02,-0.16,-0.034,0.009,-0.003,-0.009
-0.072,-0.024,0.006,0.021,0.031,-0.058,-0.009,-0.125,-0.024,0.007,-0.008,-0.012
-0.068,-0.024,0.004,0.023,0.033,-0.06,-0.004,-0.092,-0.02,0.004,-0.013,-0.014
-0.063,-0.019,0.004,0.022,0.036,-0.06,0.001,-0.062,-0.017,0.002,-0.016,-0.015
-0.058,-0.014,0.004,0.02,0.034,-0.06,0.002,-0.039,-0.014,0.002,-0.019,-0.015
-0.056,-0.01,0.004,0.018,0.032,-0.057,0.002,-0.017,-0.009,0.002,-0.021,-0.015
-0.053,-0.008,0.004,0.018,0.029,-0.052,0.002,-0.007,-0.004,0.002,-0.021,-0.015
-0.051,-0.005,0.003,0.018,0.027,-0.047,0.005,-0.004,0.001,0.002,-0.021,-0.015
-0.048,-0.005,0.001,0.019,0.024,-0.042,0.007,-0.002,0.006,0.002,-0.021,-0.017
-0.046,-0.005,-0.002,0.021,0.025,-0.037,0.011,-0.002,0.011,-0.001,-0.021,-0.019
-0.041,-0.004,-0.003,0.024,0.027,-0.034,0.016,-0.002,0.013,-0.003,-0.021,-0.022
-0.036,-0.001,-0.003,0.026,0.03,-0.034,0.021,-0.001,0.016,-0.004,-0.021,-0.024
-0.032,0.001,-0.003,0.029,0.027,-0.034,0.019,0.002,0.014,-0.004,-0.021,-0.027
-0.03,0.005,-0.005,0.028,0.025,-0.037,0.016,0.004,0.009,-0.004,-0.02,-0.028
-0.027,0.01,-0.008,0.023,0.021,-0.039,0.014,0.004,0.004,-0.007,-0.018,-0.028
-0.022,0.015,-0.009,0.018,0.016,-0.04,0.011,0.004,0.004,-0.009,-0.015,-0.028
-0.017,0.018,-0.009,0.02,0.011,-0.037,0.009,0.001,0.004,-0.013,-0.015,-0.026
-0.011,0.02,-0.009,0.022,0.008,-0.035,0.015,-0.006,0.004,-0.018,-0.015,-0.023
-0.004,0.023,-0.009,0.026,0.006,-0.032,0.023,-0.014,0.004,-0.023,-0.017,-0.024
0.004,0.025,-0.009,0.031,0.003,-0.03,0.029,-0.013,0.004,-0.023,-0.022,-0.029
0.009,0.028,-0.012,0.036,0.001,-0.029,0.034,-0.01,0.006,-0.023,-0.027,-0.034
0.014,0.03,-0.019,0.037,-0.002,-0.031,0.039,-0.005,0.009,-0.022,-0.028,-0.034
0.019,0.033,-0.027,0.037,-0.006,-0.034,0.044,0.005,0.012,-0.017,-0.028,-0.034
0.024,0.034,-0.03,0.037,-0.011,-0.032,0.049,0.015,0.017,-0.012,-0.028,-0.034
0.029,0.034,-0.033,0.037,-0.015,-0.03,0.054,0.019,0.022,-0.015,-0.028,-0.031
0.034,0.034,-0.036,0.037,-0.015,-0.028,0.059,0.022,0.025,-0.02,-0.028,-0.029
0.039,0.036,-0.044,0.039,-0.015,-0.028,0.064,0.023,0.027,-0.023,-0.029,-0.028
0.045,0.039,-0.051,0.041,-0.013,-0.028,0.069,0.023,0.03,-0.023,-0.032,-0.028
0.052,0.044,-0.057,0.044,-0.011,-0.026,0.074,0.023,0.035,-0.023,-0.034,-0.028
0.059,0.051,-0.062,0.046,-0.01,-0.024,0.078,0.029,0.04,-0.02,-0.034,-0.028
0.065,0.059,-0.066,0.049,-0.017,-0.021,0.076,0.036,0.045,-0.015,-0.034,-0.028
0.07,0.066,-0.066,0.048,-0.025,-0.019,0.073,0.044,0.05,-0.011,-0.034,-0.028
0.076,0.074,-0.066,0.045,-0.031,-0.016,0.071,0.051,0.055,-0.016,-0.034,-0.028
0.083,0.08,-0.065,0.043,-0.036,-0.015,0.068,0.059,0.063,-0.021,-0.034,-0.028
0.09,0.085,-0.062,0.043,-0.04,-0.015,0.066,0.06,0.07,-0.025,-0.034,-0.031
