I,II,III,aVR,aVF,aVL,V1,V2,V3,V4,V5,V6
-0.15,-0.03,0.105,0.085,0.035,-0.12,0.03,0.02,-0.03,0.0,-0.01,0.01
-0.15,-0.03,0.105,0.085,0.035,-0.12,0.035,0.02,-0.04,-0.01,-0.01,0.02
-0.135,-0.03,0.09,0.08,0.025,-0.105,0.035,0.02,-0.04,-0.01,0.0,0.02
-0.13,-0.03,0.085,0.075,0.025,-0.1,0.035,0.02,-0.03,-0.015,0.005,0.02
-0.135,-0.03,0.09,0.08,0.025,-0.105,0.03,0.02,-0.03,-0.01,0.005,0.02
-0.15,-0.03,0.105,0.085,0.035,-0.12,0.02,0.015,-0.03,-0.01,-0.01,0.02
-0.155,-0.03,0.11,0.09,0.035,-0.125,0.02,0.015,-0.03,0.0,-0.01,0.02
-0.155,-0.04,0.1,0.095,0.025,-0.12,0.02,0.015,-0.03,0.0,-0.01,0.01
-0.155,-0.045,0.095,0.095,0.02,-0.115,0.02,0.02,-0.03,0.0,0.0,0.01
-0.155,-0.045,0.095,0.095,0.02,-0.115,0.02,0.02,-0.03,0.0,-0.01,0.01
-0.15,-0.04,0.095,0.09,0.025,-0.115,0.015,0.015,-0.04,0.0,-0.01,0.01
-0.14,-0.03,0.1,0.085,0.03,-0.115,0.015,0.015,-0.045,0.0,-0.01,0.005
-0.135,-0.04,0.08,0.085,0.015,-0.1,0.015,0.015,-0.045,0.0,0.0,0.005
-0.13,-0.04,0.075,0.08,0.015,-0.095,0.03,0.015,-0.04,0.0,-0.01,0.01
-0.125,-0.04,0.07,0.08,0.01,-0.09,0.035,0.015,-0.03,0.005,-0.01,0.02
-0.125,-0.025,0.085,0.07,0.025,-0.095,0.035,0.015,-0.03,0.01,-0.01,0.025
-0.13,-0.02,0.095,0.07,0.035,-0.105,0.03,0.03,-0.025,0.02,0.005,0.025
-0.13,0.0,0.115,0.06,0.055,-0.115,0.02,0.03,-0.02,0.02,0.005,0.025
-0.13,0.015,0.13,0.055,0.07,-0.12,0.02,0.03,-0.01,0.02,0.01,0.025
-0.125,0.04,0.15,0.04,0.09,-0.13,0.02,0.015,-0.01,0.025,0.01,0.03
-0.115,0.045,0.14,0.03,0.09,-0.125,0.02,0.01,-0.01,0.03,0.01,0.045
-0.105,0.06,0.15,0.02,0.1,-0.12,0.02,0.0,-0.01,0.045,0.01,0.05
-0.095,0.065,0.14,0.01,0.1,-0.115,0.02,0.01,-0.005,0.05,0.02,0.06
-0.105,0.08,0.17,0.01,0.12,-0.13,0.02,0.015,0.0,0.06,0.03,0.06
-0.11,0.09,0.185,0.005,0.135,-0.14,0.03,0.015,0.015,0.06,0.04,0.06
-0.115,0.105,0.205,0.0,0.15,-0.155,0.035,0.01,0.03,0.06,0.04,0.06
-0.115,0.11,0.21,0.0,0.155,-0.155,0.035,0.0,0.035,0.065,0.04,0.065
-0.125,0.12,0.23,0.0,0.17,-0.17,0.03,0.0,0.035,0.07,0.05,0.065
-0.125,0.125,0.235,-0.005,0.175,-0.175,0.01,-0.015,0.03,0.08,0.05,0.08
-0.115,0.14,0.24,-0.015,0.185,-0.17,-0.005,-0.02,0.03,0.08,0.055,0.09
-0.11,0.16,0.255,-0.025,0.205,-0.175,-0.02,-0.035,0.035,0.08,0.055,0.095
-0.11,0.18,0.275,-0.035,0.225,-0.185,-0.02,-0.03,0.05,0.085,0.07,0.095
-0.11,0.2,0.295,-0.045,0.245,-0.195,-0.025,-0.035,0.06,0.1,0.08,0.1
-0.095,0.205,0.28,-0.055,0.24,-0.185,-0.05,-0.04,0.07,0.115,0.09,0.115
-0.085,0.21,0.28,-0.065,0.24,-0.175,-0.07,-0.055,0.07,0.12,0.09,0.12
-0.085,0.22,0.285,-0.07,0.25,-0.18,-0.09,-0.06,0.06,0.115,0.08,0.12
-0.09,0.22,0.295,-0.065,0.255,-0.185,-0.095,-0.06,0.05,0.11,0.075,0.12
-0.105,0.21,0.3,-0.055,0.25,-0.195,-0.1,-0.06,0.035,0.09,0.075,0.12
-0.105,0.2,0.285,-0.05,0.24,-0.19,-0.1,-0.07,0.03,0.085,0.075,0.12
-0.095,0.19,0.27,-0.05,0.225,-0.175,-0.1,-0.07,0.03,0.08,0.08,0.115
-0.085,0.185,0.255,-0.05,0.215,-0.165,-0.1,-0.07,0.03,0.08,0.075,0.11
-0.085,0.18,0.25,-0.05,0.21,-0.16,-0.1,-0.06,0.02,0.07,0.06,0.1
-0.085,0.16,0.23,-0.04,0.19,-0.15,-0.095,-0.06,0.015,0.065,0.05,0.1
-0.09,0.14,0.215,-0.025,0.175,-0.14,-0.08,-0.06,0.01,0.05,0.04,0.1
-0.085,0.11,0.18,-0.015,0.14,-0.125,-0.07,-0.06,0.0,0.045,0.03,0.09
-0.09,0.09,0.165,-0.005,0.125,-0.12,-0.055,-0.055,-0.005,0.04,0.025,0.07
-0.09,0.07,0.14,0.005,0.105,-0.11,-0.05,-0.055,-0.02,0.04,0.01,0.05
-0.105,0.045,0.135,0.025,0.085,-0.115,-0.03,-0.055,-0.03,0.03,-0.01,0.045
-0.115,0.015,0.115,0.045,0.06,-0.105,-0.02,-0.055,-0.045,0.02,-0.03,0.03
-0.13,-0.01,0.105,0.065,0.045,-0.11,-0.01,-0.055,-0.05,0.005,-0.05,0.025
-0.14,-0.04,0.09,0.09,0.02,-0.11,0.0,-0.04,-0.05,0.0,-0.055,0.01
-0.14,-0.06,0.07,0.1,0.0,-0.1,0.01,-0.03,-0.05,-0.01,-0.07,0.0
-0.135,-0.08,0.04,0.105,-0.025,-0.08,0.02,-0.015,-0.06,-0.015,-0.075,-0.015
-0.125,-0.085,0.025,0.1,-0.035,-0.065,0.015,-0.02,-0.07,-0.02,-0.075,-0.02
-0.125,-0.09,0.02,0.105,-0.04,-0.065,0.015,-0.03,-0.08,-0.03,-0.075,-0.02
-0.13,-0.1,0.015,0.11,-0.045,-0.065,0.01,-0.03,-0.08,-0.035,-0.08,-0.03
-0.135,-0.105,0.015,0.115,-0.05,-0.065,0.015,-0.02,-0.07,-0.04,-0.095,-0.035
-0.135,-0.12,0.0,0.125,-0.065,-0.06,0.015,-0.015,-0.07,-0.04,-0.095,-0.04
-0.135,-0.125,-0.005,0.125,-0.07,-0.055,0.02,-0.015,-0.07,-0.04,-0.09,-0.04
-0.13,-0.125,-0.01,0.125,-0.07,-0.05,0.02,-0.01,-0.08,-0.04,-0.09,-0.035
-0.125,-0.125,-0.015,0.12,-0.075,-0.045,0.015,-0.015,-0.085,-0.05,-0.095,-0.035
-0.115,-0.125,-0.025,0.115,-0.08,-0.035,0.015,-0.015,-0.09,-0.06,-0.1,-0.04
-0.115,-0.14,-0.04,0.125,-0.095,-0.03,0.015,-0.02,-0.09,-0.07,-0.1,-0.05
-0.11,-0.14,-0.05,0.125,-0.1,-0.02,0.02,-0.02,-0.09,-0.06,-0.1,-0.055
-0.11,-0.14,-0.05,0.125,-0.1,-0.02,0.02,-0.02,-0.085,-0.05,-0.1,-0.05
-0.11,-0.14,-0.045,0.12,-0.095,-0.025,0.02,-0.015,-0.085,-0.04,-0.1,-0.05
-0.115,-0.13,-0.03,0.12,-0.085,-0.035,0.02,-0.015,-0.085,-0.05,-0.11,-0.05
-0.115,-0.14,-0.04,0.125,-0.095,-0.03,0.02,-0.015,-0.1,-0.055,-0.115,-0.05
-0.115,-0.14,-0.045,0.125,-0.1,-0.025,0.03,-0.02,-0.1,-0.06,-0.115,-0.05
-0.11,-0.15,-0.055,0.125,-0.105,-0.02,0.03,-0.015,-0.1,-0.06,-0.11,-0.04
-0.105,-0.14,-0.055,0.12,-0.105,-0.015,0.03,-0.01,-0.09,-0.06,-0.1,-0.04
-0.105,-0.14,-0.055,0.12,-0.105,-0.015,0.02,0.0,-0.09,-0.06,-0.1,-0.04
-0.11,-0.14,-0.05,0.125,-0.1,-0.02,0.03,0.0,-0.09,-0.055,-0.1,-0.04
-0.115,-0.15,-0.05,0.13,-0.105,-0.025,0.035,0.01,-0.09,-0.05,-0.1,-0.04
-0.115,-0.14,-0.045,0.125,-0.1,-0.025,0.035,0.01,-0.085,-0.05,-0.11,-0.04
-0.11,-0.14,-0.05,0.125,-0.1,-0.02,0.03,0.01,-0.08,-0.05,-0.11,-0.04
-0.11,-0.14,-0.045,0.12,-0.095,-0.025,0.03,0.0,-0.08,-0.055,-0.11,-0.04
-0.105,-0.14,-0.055,0.12,-0.105,-0.015,0.035,0.0,-0.085,-0.055,-0.1,-0.04
-0.105,-0.14,-0.055,0.12,-0.105,-0.015,0.04,0.0,-0.085,-0.06,-0.095,-0.04
-0.095,-0.15,-0.07,0.12,-0.115,-0.005,0.035,0.01,-0.08,-0.055,-0.09,-0.04
-0.095,-0.15,-0.07,0.12,-0.115,-0.005,0.035,0.015,-0.065,-0.05,-0.09,-0.05
-0.095,-0.15,-0.07,0.12,-0.115,-0.005,0.04,0.03,-0.05,-0.035,-0.095,-0.055
-0.095,-0.14,-0.065,0.115,-0.11,-0.005,0.07,0.055,-0.02,-0.015,-0.095,-0.05
-0.105,-0.14,-0.05,0.12,-0.1,-0.02,0.1,0.11,0.05,0.025,-0.08,-0.035
-0.105,-0.125,-0.035,0.11,-0.085,-0.025,0.14,0.18,0.16,0.09,-0.05,-0.015
-0.095,-0.1,-0.02,0.095,-0.065,-0.03,0.16,0.25,0.3,0.195,0.005,0.005
-0.075,-0.04,0.02,0.055,-0.015,-0.04,0.14,0.275,0.44,0.32,0.08,0.045
-0.055,0.05,0.09,0.0,0.065,-0.065,0.08,0.255,0.565,0.47,0.175,0.11
-0.035,0.14,0.165,-0.055,0.15,-0.095,-0.005,0.21,0.68,0.635,0.285,0.195
-0.015,0.23,0.23,-0.11,0.225,-0.115,-0.1,0.16,0.765,0.83,0.43,0.285
0.015,0.31,0.28,-0.165,0.285,-0.125,-0.2,0.11,0.81,1.03,0.57,0.38
0.04,0.39,0.335,-0.215,0.355,-0.14,-0.31,0.02,0.83,1.22,0.715,0.46
0.065,0.47,0.39,-0.27,0.425,-0.155,-0.43,-0.09,0.83,1.4,0.84,0.55
0.08,0.55,0.455,-0.315,0.495,-0.18,-0.56,-0.215,0.82,1.57,0.96,0.635
0.095,0.625,0.515,-0.36,0.56,-0.205,-0.69,-0.335,0.785,1.7,1.07,0.715
0.1,0.69,0.57,-0.395,0.625,-0.23,-0.8,-0.46,0.745,1.8,1.155,0.77
0.105,0.74,0.62,-0.425,0.675,-0.25,-0.89,-0.56,0.71,1.87,1.22,0.81
0.1,0.75,0.635,-0.425,0.685,-0.26,-0.95,-0.635,0.69,1.89,1.235,0.83
0.095,0.74,0.63,-0.42,0.68,-0.26,-0.98,-0.68,0.665,1.815,1.18,0.815
0.08,0.68,0.585,-0.38,0.625,-0.245,-0.995,-0.715,0.61,1.62,1.055,0.75
0.06,0.565,0.495,-0.315,0.525,-0.21,-0.98,-0.735,0.505,1.27,0.84,0.615
0.035,0.41,0.36,-0.225,0.38,-0.155,-0.94,-0.75,0.32,0.81,0.555,0.455
0.005,0.245,0.225,-0.125,0.23,-0.105,-0.89,-0.77,0.055,0.315,0.26,0.285
-0.025,0.11,0.12,-0.045,0.11,-0.065,-0.84,-0.8,-0.245,-0.09,0.03,0.16
-0.05,0.02,0.055,0.01,0.035,-0.045,-0.79,-0.83,-0.52,-0.335,-0.11,0.065
-0.07,-0.04,0.015,0.05,-0.015,-0.035,-0.73,-0.83,-0.725,-0.46,-0.19,0.005
-0.075,-0.08,-0.02,0.075,-0.055,-0.02,-0.655,-0.79,-0.83,-0.515,-0.24,-0.035
-0.085,-0.11,-0.04,0.095,-0.08,-0.015,-0.575,-0.72,-0.845,-0.53,-0.27,-0.055
-0.09,-0.125,-0.05,0.105,-0.09,-0.01,-0.51,-0.655,-0.785,-0.51,-0.275,-0.06
-0.095,-0.125,-0.045,0.105,-0.09,-0.015,-0.45,-0.595,-0.69,-0.46,-0.255,-0.055
-0.095,-0.105,-0.025,0.095,-0.07,-0.025,-0.4,-0.54,-0.6,-0.4,-0.235,-0.055
-0.095,-0.08,0.0,0.085,-0.045,-0.04,-0.355,-0.48,-0.51,-0.34,-0.21,-0.05
-0.095,-0.045,0.035,0.065,-0.01,-0.055,-0.3,-0.42,-0.43,-0.285,-0.18,-0.035
-0.095,-0.02,0.06,0.055,0.015,-0.07,-0.25,-0.37,-0.35,-0.24,-0.15,-0.015
-0.095,0.01,0.09,0.04,0.045,-0.085,-0.2,-0.32,-0.28,-0.2,-0.12,0.0
-0.095,0.015,0.095,0.035,0.05,-0.085,-0.16,-0.27,-0.23,-0.17,-0.11,0.0
-0.095,0.0,0.08,0.045,0.035,-0.08,-0.12,-0.215,-0.2,-0.14,-0.095,0.0
-0.09,-0.02,0.055,0.05,0.015,-0.065,-0.095,-0.16,-0.165,-0.13,-0.095,-0.01
-0.085,-0.04,0.03,0.06,-0.01,-0.05,-0.07,-0.12,-0.14,-0.115,-0.095,-0.015
-0.07,-0.05,0.005,0.055,-0.025,-0.03,-0.05,-0.09,-0.11,-0.11,-0.1,-0.02
-0.07,-0.065,-0.01,0.065,-0.04,-0.02,-0.01,-0.055,-0.1,-0.1,-0.1,-0.02
-0.07,-0.08,-0.025,0.07,-0.055,-0.015,0.01,-0.035,-0.085,-0.1,-0.11,-0.02
-0.07,-0.085,-0.03,0.075,-0.06,-0.01,0.02,-0.015,-0.07,-0.1,-0.11,-0.02
-0.07,-0.09,-0.035,0.075,-0.065,-0.01,0.03,0.0,-0.06,-0.095,-0.11,-0.03
-0.07,-0.09,-0.035,0.075,-0.065,-0.01,0.035,0.015,-0.05,-0.09,-0.1,-0.035
-0.085,-0.1,-0.03,0.09,-0.07,-0.02,0.04,0.03,-0.05,-0.08,-0.1,-0.04
-0.085,-0.105,-0.035,0.09,-0.075,-0.015,0.05,0.04,-0.05,-0.075,-0.1,-0.035
-0.085,-0.11,-0.04,0.095,-0.08,-0.015,0.055,0.055,-0.045,-0.07,-0.095,-0.035
-0.075,-0.105,-0.045,0.085,-0.08,-0.005,0.06,0.055,-0.04,-0.06,-0.095,-0.035
-0.075,-0.1,-0.04,0.085,-0.075,-0.01,0.06,0.055,-0.03,-0.06,-0.09,-0.04
-0.075,-0.09,-0.03,0.08,-0.065,-0.015,0.07,0.055,-0.025,-0.06,-0.09,-0.04
-0.075,-0.1,-0.04,0.085,-0.075,-0.01,0.075,0.06,-0.02,-0.06,-0.08,-0.05
-0.075,-0.105,-0.045,0.085,-0.08,-0.005,0.08,0.07,-0.01,-0.06,-0.08,-0.05
-0.075,-0.11,-0.05,0.09,-0.085,-0.005,0.08,0.07,-0.01,-0.055,-0.075,-0.04
-0.075,-0.105,-0.045,0.085,-0.08,-0.005,0.08,0.075,-0.005,-0.05,-0.07,-0.03
-0.075,-0.1,-0.04,0.085,-0.075,-0.01,0.08,0.075,0.0,-0.04,-0.06,-0.02
-0.075,-0.09,-0.03,0.08,-0.065,-0.015,0.08,0.075,0.015,-0.04,-0.06,-0.02
-0.075,-0.1,-0.04,0.085,-0.075,-0.01,0.08,0.075,0.02,-0.035,-0.06,-0.02
-0.075,-0.1,-0.04,0.085,-0.075,-0.01,0.08,0.075,0.03,-0.03,-0.06,-0.02
-0.075,-0.1,-0.04,0.085,-0.075,-0.01,0.08,0.075,0.03,-0.02,-0.06,-0.02
-0.085,-0.09,-0.02,0.085,-0.06,-0.025,0.08,0.075,0.03,-0.02,-0.06,-0.02
-0.085,-0.09,-0.02,0.085,-0.06,-0.025,0.08,0.07,0.03,-0.02,-0.06,-0.02
-0.085,-0.09,-0.02,0.085,-0.06,-0.025,0.08,0.075,0.035,-0.015,-0.06,-0.02
-0.075,-0.09,-0.03,0.08,-0.065,-0.015,0.08,0.075,0.035,0.0,-0.055,-0.015
-0.075,-0.085,-0.025,0.075,-0.06,-0.015,0.08,0.08,0.04,0.01,-0.05,-0.015
-0.07,-0.08,-0.025,0.07,-0.055,-0.015,0.08,0.08,0.04,0.02,-0.05,-0.015
-0.065,-0.07,-0.02,0.065,-0.05,-0.015,0.08,0.09,0.05,0.025,-0.05,-0.02
-0.055,-0.07,-0.03,0.06,-0.055,-0.005,0.09,0.09,0.05,0.03,-0.05,-0.02
-0.055,-0.07,-0.03,0.06,-0.055,-0.005,0.09,0.09,0.05,0.03,-0.05,-0.03
-0.055,-0.07,-0.03,0.06,-0.055,-0.005,0.09,0.08,0.05,0.03,-0.05,-0.03
-0.055,-0.07,-0.03,0.06,-0.055,-0.005,0.075,0.08,0.05,0.03,-0.055,-0.03
-0.05,-0.07,-0.035,0.055,-0.055,0.0,0.075,0.08,0.055,0.04,-0.05,-0.03
-0.045,-0.07,-0.04,0.055,-0.06,0.005,0.075,0.08,0.055,0.045,-0.05,-0.03
-0.035,-0.065,-0.045,0.045,-0.06,0.015,0.08,0.09,0.06,0.05,-0.04,-0.03
-0.035,-0.065,-0.045,0.045,-0.06,0.015,0.08,0.095,0.06,0.06,-0.05,-0.03
-0.045,-0.06,-0.03,0.05,-0.05,0.0,0.08,0.1,0.07,0.065,-0.05,-0.035
-0.045,-0.065,-0.035,0.05,-0.055,0.005,0.08,0.1,0.075,0.065,-0.05,-0.03
-0.045,-0.065,-0.035,0.05,-0.055,0.005,0.08,0.1,0.08,0.07,-0.04,-0.02
-0.035,-0.065,-0.045,0.045,-0.06,0.015,0.08,0.1,0.1,0.07,-0.035,-0.015
-0.035,-0.06,-0.04,0.045,-0.055,0.01,0.08,0.1,0.1,0.08,-0.035,-0.02
-0.045,-0.05,-0.02,0.045,-0.04,-0.005,0.08,0.11,0.105,0.085,-0.03,-0.015
-0.05,-0.05,-0.015,0.045,-0.035,-0.01,0.08,0.115,0.105,0.09,-0.03,-0.015
-0.05,-0.045,-0.01,0.045,-0.03,-0.01,0.075,0.12,0.12,0.11,-0.02,-0.01
-0.045,-0.04,-0.01,0.04,-0.03,-0.01,0.075,0.12,0.125,0.115,-0.02,-0.015
-0.035,-0.03,-0.01,0.03,-0.025,-0.005,0.075,0.12,0.13,0.12,-0.02,-0.015
-0.035,-0.03,-0.01,0.03,-0.025,-0.005,0.08,0.12,0.14,0.115,-0.02,-0.02
-0.045,-0.03,0.0,0.035,-0.02,-0.015,0.08,0.13,0.14,0.115,-0.015,-0.015
-0.045,-0.03,0.0,0.035,-0.02,-0.015,0.08,0.13,0.15,0.115,-0.015,-0.01
-0.05,-0.025,0.01,0.035,-0.01,-0.02,0.08,0.135,0.15,0.13,-0.01,-0.01
-0.05,-0.02,0.015,0.03,-0.005,-0.025,0.09,0.14,0.16,0.14,0.0,-0.01
-0.055,-0.01,0.03,0.03,0.005,-0.035,0.095,0.15,0.17,0.155,0.005,-0.01
-0.055,-0.01,0.03,0.03,0.005,-0.035,0.1,0.15,0.19,0.16,0.005,0.0
-0.055,-0.01,0.03,0.03,0.005,-0.035,0.1,0.15,0.205,0.155,0.005,0.0
-0.055,-0.01,0.03,0.03,0.005,-0.035,0.1,0.155,0.22,0.155,0.01,0.0
-0.05,-0.01,0.025,0.025,0.005,-0.03,0.095,0.16,0.225,0.155,0.01,0.0
-0.05,-0.01,0.025,0.025,0.005,-0.03,0.095,0.17,0.24,0.17,0.01,0.0
-0.05,-0.01,0.025,0.025,0.005,-0.03,0.095,0.175,0.245,0.175,0.02,0.005
-0.055,-0.005,0.035,0.025,0.01,-0.035,0.1,0.18,0.26,0.19,0.03,0.01
-0.055,0.0,0.04,0.025,0.015,-0.04,0.11,0.19,0.27,0.195,0.04,0.01
-0.055,0.01,0.05,0.02,0.025,-0.045,0.115,0.195,0.28,0.21,0.05,0.01
-0.055,0.015,0.055,0.015,0.03,-0.045,0.115,0.2,0.3,0.215,0.055,0.02
-0.05,0.02,0.055,0.01,0.035,-0.045,0.115,0.21,0.31,0.23,0.06,0.025
-0.05,0.03,0.065,0.005,0.045,-0.05,0.115,0.215,0.33,0.235,0.06,0.02
-0.045,0.03,0.06,0.005,0.04,-0.045,0.115,0.22,0.35,0.25,0.07,0.02
-0.045,0.04,0.07,0.0,0.05,-0.05,0.11,0.22,0.365,0.26,0.075,0.03
-0.035,0.045,0.065,-0.01,0.05,-0.045,0.11,0.235,0.385,0.28,0.08,0.045
-0.035,0.06,0.08,-0.015,0.065,-0.05,0.115,0.255,0.4,0.295,0.09,0.045
-0.03,0.06,0.075,-0.02,0.065,-0.045,0.12,0.275,0.425,0.31,0.095,0.04
-0.03,0.065,0.08,-0.02,0.07,-0.05,0.13,0.28,0.445,0.315,0.1,0.04
-0.03,0.065,0.08,-0.02,0.07,-0.05,0.135,0.285,0.47,0.33,0.11,0.04
-0.035,0.07,0.09,-0.02,0.075,-0.055,0.14,0.3,0.49,0.34,0.115,0.045
